word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO,tag,bio
[,NN,start,NN,NA,B,NA,0,0,B,na,B
i,NN,NN,VB,NA,B,NA,0,0,B,na,B
be,VB,NN,VB,NA,B,NA,0,0,B,na,B
be,VB,VB,VBN,NA,B,NA,0,0,B,na,B
refer,VBN,VB,IN,Functional_Concept,B,NA,0,0,B,na,B
from,IN,VBN,NN,Qualitative_Concept,B,NA,0,0,B,na,B
cpn,NN,IN,TO,NA,B,NA,0,0,B,na,B
to,TO,NN,VB,NA,B,NA,0,0,B,na,B
psychiatrist,VB,TO,IN,Professional_or_Occupational_Group,B,NA,6,2,B,m,B
at,IN,VB,DT,NA,B,NA,0,0,B,na,B
the,DT,IN,NN,NA,B,NA,4,0,B,na,B
mo,NN,DT,CC,NA,B,NA,0,0,B,na,B
and,CC,NN,NN,Idea_or_Concept,B,NA,4,0,B,na,B
i,NN,CC,VB,NA,B,NA,0,0,B,na,B
be,VB,NN,VBN,NA,B,NA,0,0,B,na,B
scar,VBN,VB,CC,Pathologic_Function,B,NA,4,8,B,na,B
and,CC,VBN,VBP,Idea_or_Concept,B,NA,4,0,B,na,B
do,VBP,CC,RB,Qualitative_Concept,B,NA,0,0,B,na,B
not,RB,VBP,VB,Qualitative_Concept,I,NA,4,5,B,h,B
know,VB,RB,WP,Qualitative_Concept,I,NA,0,0,B,na,B
what,WP,VB,TO,NA,B,NA,0,0,B,na,B
to,TO,WP,VB,NA,B,NA,0,0,B,na,B
expect,VB,TO,.,Idea_or_Concept,B,NA,0,0,B,na,B
.,.,VB,end,NA,B,NA,0,0,B,na,B
i,NNS,start,VBP,NA,B,NA,0,0,B,na,B
do,VBP,NNS,RB,Qualitative_Concept,B,NA,0,0,B,na,B
not,RB,VBP,VB,Qualitative_Concept,I,NA,4,5,B,h,B
know,VB,RB,IN,Qualitative_Concept,I,NA,0,0,B,na,B
if,IN,VB,NNS,NA,B,NA,0,0,B,na,B
i,NNS,IN,VBP,NA,B,NA,0,0,B,na,B
have,VBP,NNS,VBN,Qualitative_Concept,B,NA,0,0,B,na,B
bipolar,VBN,VBP,CC,Spatial_Concept,B,NA,0,0,B,d,B
but,CC,VBN,JJ,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B,na,B
i,JJ,CC,VBP,NA,B,NA,0,0,B,na,B
become,VBP,JJ,JJ,NA,B,NA,0,0,B,na,B
high,JJ,VBP,POS,NA,B,NA,4,3,B,s,i
',POS,JJ,IN,NA,B,NA,0,0,B,na,B
after,IN,POS,VBP,Temporal_Concept,B,NA,4,10,B,h,B
try,VBP,IN,CD,NA,B,NA,0,0,B,na,B
two,CD,VBP,JJ,Quantitative_Concept,B,NA,0,0,B,h,B
different,JJ,CD,NNS,Qualitative_Concept,B,NA,0,0,B,na,B
ads,NNS,JJ,.,NA,B,NA,0,0,B,na,B
.,.,NNS,end,NA,B,NA,0,0,B,na,B
200mg,CD,start,NN,NA,B,NA,4,11,B,na,B
quetiapine,NN,CD,VB,Pharmacologic_Substance,B,NA,0,0,B,na,B
be,VB,NN,WP,NA,B,NA,0,0,B,na,B
what,WP,VB,JJ,NA,B,NA,0,0,B,na,B
i,JJ,WP,VB,NA,B,NA,0,0,B,na,B
be,VB,JJ,IN,NA,B,NA,0,0,B,na,B
on,IN,VB,RB,NA,B,NA,0,0,B,na,B
now,RB,IN,CC,Temporal_Concept,B,NA,0,0,B,na,B
but,CC,RB,RB,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B,na,B
i,RB,CC,VB,NA,B,NA,0,0,B,na,B
be,VB,RB,VBN,NA,B,NA,0,0,B,na,B
feel,VBN,VB,IN,Mental_Process,B,NA,0,0,B,na,B
like,IN,VBN,NN,Mental_Process,B,NA,0,0,B,na,B
i,NN,IN,VBP,NA,B,NA,0,0,B,na,B
want,VBP,NN,TO,NA,B,NA,4,8,B,na,B
to,TO,VBP,VB,NA,B,NA,0,0,B,na,B
cancel,VB,TO,PRP$,Qualitative_Concept,B,NA,3,0,B,na,B
my,PRP$,VB,NNS,NA,B,NA,0,0,B,na,B
appointments,NNS,PRP$,CC,Idea_or_Concept,B,NA,0,0,B,na,B
and,CC,NNS,VB,Idea_or_Concept,B,NA,4,0,B,na,B
stop,VB,CC,VB,Temporal_Concept,B,NA,0,0,B,na,B
take,VB,VB,PRP$,Health_Care_Activity,B,medication,0,0,B,na,B
my,PRP$,VB,NNS,NA,B,NA,0,0,B,na,B
meds,NNS,PRP$,IN,NA,B,NA,6,1,B,na,B
because,IN,NNS,WP,NA,B,NA,0,0,B,na,B
what,WP,IN,IN,NA,B,NA,0,0,B,na,B
if,IN,WP,EX,NA,B,NA,0,0,B,na,B
there,EX,IN,VB,NA,B,NA,4,0,B,na,B
be,VB,EX,RB,NA,B,NA,0,0,B,na,B
not,RB,VB,NN,Qualitative_Concept,I,NA,4,5,B,na,B
anything,NN,RB,JJ,NA,B,NA,0,0,B,na,B
wrong,JJ,NN,IN,Qualitative_Concept,B,NA,0,0,B,na,B
with,IN,JJ,PRP,Qualitative_Concept,B,NA,4,0,B,na,B
me,PRP,IN,CC,NA,B,NA,0,0,B,na,B
and,CC,PRP,VB,Idea_or_Concept,B,NA,4,0,B,na,B
i,VB,CC,RB,NA,B,NA,0,0,B,na,B
just,RB,VB,NN,NA,B,NA,0,0,B,na,B
need,NN,RB,TO,Qualitative_Concept,B,NA,0,0,B,na,B
to,TO,NN,VB,NA,B,NA,0,0,B,na,B
learn,VB,TO,TO,Mental_Process,B,NA,0,0,B,na,B
to,TO,VB,VB,NA,B,NA,0,0,B,na,B
cope,VB,TO,IN,Pharmacologic_Substance,B,NA,0,0,B,na,B
with,IN,VB,NN,Qualitative_Concept,B,NA,4,0,B,na,B
life,NN,IN,DT,Idea_or_Concept,B,NA,0,0,B,na,B
a,DT,NN,NN,NA,B,NA,0,0,B,na,B
bite,NN,DT,RBR,Injury_or_Poisoning,B,injury,0,0,B,na,B
better,RBR,NN,.,Qualitative_Concept,B,NA,0,0,B,na,B
?,.,RBR,end,NA,B,NA,0,0,B,na,B
