word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
[,NN,start,NN,NA,B,NA,0,0,B
i,NN,NN,VB,NA,B,NA,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
currently,RB,VB,IN,Temporal_Concept,B,NA,0,0,B
on,IN,RB,CD,NA,B,NA,0,0,B
100mg,CD,IN,NN,NA,B,NA,4,11,B
quetiapine,NN,CD,TO,Pharmacologic_Substance,B,NA,0,0,B
to,TO,NN,VB,Spatial_Concept,I,NA,0,0,B
see,VB,TO,IN,Activity,B,NA,0,0,B
if,IN,VB,PRP,NA,B,NA,0,0,B
it,PRP,IN,VBZ,NA,B,NA,0,0,B
help,VBZ,PRP,TO,Intellectual_Product,B,NA,0,0,B
to,TO,VBZ,VB,Spatial_Concept,I,NA,0,0,B
stabilise,VB,TO,PRP$,NA,B,NA,0,0,B
my,PRP$,VB,NNS,NA,B,NA,0,0,B
moods,NNS,PRP$,.,Mental_Process,B,NA,0,0,B
.,.,NNS,end,NA,B,NA,0,0,B
i,JJ,start,VBP,NA,B,NA,0,0,B
become,VBP,JJ,RB,NA,B,NA,0,0,B
too,RB,VBP,JJ,Finding,B,NA,0,0,B
'high,JJ,RB,'',NA,B,NA,0,0,B
','',JJ,IN,NA,B,NA,0,0,B
after,IN,'',JJ,Temporal_Concept,B,NA,4,10,B
try,JJ,IN,NN,NA,B,NA,0,0,B
ssris,NN,JJ,RB,NA,B,NA,0,0,B
alone,RB,NN,CC,Finding,B,NA,0,0,B
and,CC,RB,DT,Idea_or_Concept,B,NA,4,0,B
the,DT,CC,NN,NA,B,NA,4,0,B
quetiapine,NN,DT,VBP,Pharmacologic_Substance,B,NA,0,0,B
have,VBP,NN,RB,Qualitative_Concept,B,NA,0,0,B
really,RB,VBP,VB,NA,B,NA,0,0,B
help,VB,RB,PRP,Intellectual_Product,B,NA,0,0,B
me,PRP,VB,TO,NA,B,NA,0,0,B
to,TO,PRP,VB,Spatial_Concept,I,NA,0,0,B
overcome,VB,TO,DT,Activity,B,NA,0,0,B
this,DT,VB,.,Eukaryote,B,NA,4,0,B
.,.,DT,end,NA,B,NA,0,0,B
however,RB,start,JJ,NA,B,NA,4,0,B
i,JJ,RB,VB,NA,B,NA,0,0,B
be,VB,JJ,RB,NA,B,NA,0,0,B
now,RB,VB,RB,Temporal_Concept,B,NA,0,0,B
just,RB,RB,VB,NA,B,NA,0,0,B
feel,VB,RB,RB,Sign_or_Symptom,B,symptom,0,0,B
really,RB,VB,RB,NA,B,NA,0,0,B
quite,RB,RB,JJ,NA,B,NA,0,0,B
low,JJ,RB,CC,Finding,I,NA,4,4,B
and,CC,JJ,JJ,Idea_or_Concept,B,NA,4,0,B
i,JJ,CC,VB,NA,B,NA,0,0,B
be,VB,JJ,VBN,NA,B,NA,0,0,B
struggle,VBN,VB,.,NA,B,NA,0,0,B
.,.,VBN,end,NA,B,NA,0,0,B
if,IN,start,NNS,NA,B,NA,0,0,B
i,NNS,IN,VBP,NA,B,NA,0,0,B
have,VBP,NNS,JJ,Qualitative_Concept,B,NA,0,0,B
