word,dic_id,score
gastroesophageal reflux disease,3,0
dysphonia,3,0
heartburn,3,0
gerd,3,0
acne,3,0
papule,3,0
pustule,3,0
nodule,3,0
allergy,3,0
rhinit,3,0
dyspnea,3,0
bloating,3,0
antocial personality disorder,3,0
impulsivity,3,0
dysphoria,3,0
dregard for right and wrong,3,0
attention deficit hyperactivit,3,0
boredom,3,0
hyperactivity,3,0
lack of concentration,3,0
adhd/addaltitude sickness,3,0
altitude sickness,3,0
alzheimer's disease,3,0
aggression,3,0
andropause,3,0
anorexia nervosa,3,0
extreme weight loss,3,0
emaciation,3,0
xeroderma,3,0
arthritis,3,0
night sweats,3,0
asperger syndrome,3,0
asthma,3,0
nocturnal cough,3,0
cardiac arrest,3,0
autm,3,0
self-harm,3,0
restricted behavior,3,0
stereotypy,3,0
avoidant personality disorder,3,0
self-loathing,3,0
inferiority complex,3,0
extreme shyness,3,0
bad breath,3,0
halitosalopecia,3,0
alopecia,3,0
itchy scalp,3,0
bedwetting,3,0
bipolar disorder,3,0
sadness,3,0
bladder cancer,3,0
dysuria,3,0
anorexia,3,0
body dysmorphic disorder,3,0
borderline personality disorder,3,0
dsociative disorder,3,0
bpd,3,0
bone cancer,3,0
brain cancer,3,0
breast cancer,3,0
breast lump,3,0
paget's disease of the breast,3,0
nipple dchargebrain tumor,3,0
brain tumor,3,0
nausea,3,0
diplopia,3,0
blurred vion,3,0
traumatic brain injury,3,0
quadriplegia,3,0
acute bronchit,3,0
acute bronchitburns,3,0
burnsbursit,3,0
bursit,3,0
erythema,3,0
joint stiffness,3,0
cancer,3,0
cerebella tumor,3,0
medulloblastoma,3,0
canker sores,3,0
carpal tunnel syndrome,3,0
muscle weakness,3,0
cts,3,0
celiac disease,3,0
failure to thrive,3,0
fatigue,3,0
mouth ulcer,3,0
cervical cancer,3,0
vaginal bleeding,3,0
increased vaginal discharge ,3,0
chronic obstructive pulmonary ,3,0
sputum,3,0
chronic cough,3,0
copd,3,0
colorectal cancer,3,0
narrow stools,3,0
heart failure,3,0
dizziness,3,0
nocturia,3,0
chf,3,0
cradle cap,3,0
crohn's disease,3,0
autoimmune hemolytic anemia,3,0
sclerit,3,0
dandruff,3,0
deep vein thrombos,3,0
dvt,3,0
dehydration,3,0
enophthalmia,3,0
dependent personality disorder,3,0
dependent personality disorderdepression,3,0
diabetes mellitus,3,0
polyphagia,3,0
acanthos nigricans,3,0
hyperglycemia,3,0
irritant diaper dermatit,3,0
skin rash,3,0
diarrhea,3,0
diarrheadabilities,3,0
dabilitiesdiverticulit,3,0
diverticulit,3,0
tenderness,3,0
down syndrome,3,0
congenital heart defect,3,0
mental retardation,3,0
short stature,3,0
drug abuse,3,0
dysfunctional uterine bleeding,3,0
dub,3,0
dyslexia,3,0
vual verbal agnosia,3,0
speech disorder,3,0
delayed reading ability,3,0
ear infections,3,0
ear infectionsear problems,3,0
ear problems,3,0
eating disorders,3,0
eating disordersdermatit,3,0
dermatit,3,0
blter,3,0
endometrios,3,0
dysmenorrhea,3,0
irregular menstruation,3,0
benign prostatic hyperplasia,3,0
post-void dribbling,3,0
hematuria,3,0
epilepsy,3,0
tonic–clonic seizure,3,0
blank stare,3,0
mental confusion,3,0
seizure,3,0
erectile dysfunction,3,0
soft erections,3,0
sexual dysfunction,3,0
priapm,3,0
edeye problems,3,0
eye problemsfibromyalgia,3,0
fibromyalgiafracture,3,0
fracturefreckle,3,0
freckle,3,0
gallbladder disease,3,0
gallstone,3,0
pale feces,3,0
jaundice,3,0
generalized anxiety disorder,3,0
herpes simplex,3,0
perianal pain,3,0
genital wart,3,0
glomerulonephrit,3,0
edema,3,0
