word,dic_id,score
severe,4,2
serious,4,2
high ,4,3
low,4,4
medium,4,3
few,4,8
little,4,4
harsh,4,2
relentless,4,6
hard,4,2
bearable,4,3
unbearable,4,2
acute,4,2
arduous,4,2
difficult,4,3
distress,4,3
overwhelm,4,3
sharp,4,3
fatigue,4,3
spare,4,7
less,4,8
fewer,4,8
insufficient,4,8
thick,4,7
significant,4,7
lesser,4,8
lack,4,8
reduce,4,8
short,4,8
shorter,4,8
slight,4,8
slighter,4,8
limit,4,6
scatter,4,8
frequant,4,7
infrequant,4,8
occasional,4,8
scanty,4,8
scarce,4,8
usual,4,6
unusual,4,8
casual,4,8
desultory,4,8
especial,4,8
exceptional,4,8
exclusive,4,8
incidental,4,8
infrequent,4,8
intermittent,4,8
odd,4,8
particular,4,8
random,4,8
rare,4,8
seldom,4,8
special,4,8
specific,4,8
uncommon,4,8
unfrequent,4,8
attenuate,4,8
deficient,4,8
extraordinary,4,8
few and far between,4,8
flimsy,4,8
inconceivable,4,8
isolate,4,8
light,4,8
limit,4,8
out of the ordinary,4,8
rarefy,4,8
scatter,4,8
semioccasional,4,8
singular,4,8
sparse,4,8
sporadic,4,8
strange,4,8
subtile,4,8
subtle,4,8
tenuous,4,8
thin,4,8
unheard of,4,8
unimaginable,4,8
unique,4,8
unlikely,4,8
unthinkable,4,8
unwonted,4,8
at a premium,4,8
seldom met with,4,8
shorten,4,8
shy,4,8
truncate,4,8
want,4,8
exaggerate,4,7
amplify,4,7
shrink,4,7
deepen,4,7
enhance,4,7
exacerbate,4,7
heighten,4,7
increase,4,7
inflame,4,7
intensify,4,7
magnify,4,7
mount,4,7
rise,4,7
add,4,7
augment,4,7
beef up,4,7
boost,4,7
build up,4,7
develop,4,7
elaborate,4,7
enlarge,4,7
expand,4,7
expatiate,4,7
extend,4,7
flesh out,4,7
hike up,4,7
inflate,4,7
jack up,4,7
lengthen,4,7
pad,4,7
pyramid,4,7
raise,4,7
soup up,4,7
strengthen,4,7
stretch,4,7
supplement,4,7
swell,4,7
up,4,7
widen,4,7
overstate,4,7
advance,4,7
aggrandize,4,7
aggravate,4,7
annex,4,7
broaden,4,7
build,4,7
dilate,4,7
distend,4,7
double,4,7
escalate,4,7
further,4,7
mark up,4,7
multiply,4,7
progress,4,7
proliferate,4,7
prolong,4,7
protract,4,7
pullulate,4,7
redouble,4,7
reinforce,4,7
sharpen,4,7
slap on,4,7
snowball,4,7
spread,4,7
step up,4,7
swarm,4,7
tack on,4,7
teem,4,7
thicken,4,7
triple,4,7
wax,4,7
aerate,4,7
balloon,4,7
bloat,4,7
cram,4,7
exalt,4,7
maximize,4,7
overestimate,4,7
puff up,4,7
pump up,4,7
lower,4,1
back ,4,1
front,4,1
right,4,1
side,4,1
negative,4,5
positive,4,9
fine,4,9
good,4,9
ok,4,9
solid,4,9
bad,4,5
neat,4,9
great,4,9
acceptable,4,9
satisfy,4,9
awesome,4,9
poor,4,5
dreadful,4,2
unacceptable,4,5
abominable,4,5
awful,4,2
beastly,4,5
contemptible,4,5
curse,4,5
despicable,4,5
disgust,4,5
foul,4,5
grim,4,5
grody,4,5
gross,4,2
hairy,4,5
hateful,4,5
heinous,4,5
hellish,4,5
horrible,4,5
horrid,4,5
loathsome,4,5
lousy,4,5
nauseate,4,5
obnoxious,4,5
odious,4,5
offensive,4,5
repellent,4,5
reprehensible,4,5
repugnant,4,5
repulsive,4,5
revolt,4,5
rotten,4,5
sleazy,4,5
stink,4,5
terrible,4,2
vile,4,2
wretched,4,2
monstrous,4,2
nefarious,4,2
scandalous,4,2
shock,4,2
not,4,5
not,4,5
nothing,4,5
