word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO,tag,bio
[,NN,start,NN,NA,B,NA,0,0,B,others,B
i,NN,NN,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,VB,NA,B,NA,0,0,B,others,B
be,VB,VB,VBN,NA,B,NA,0,0,B,others,B
refer,VBN,VB,IN,Functional_Concept,B,NA,0,0,B,others,B
from,IN,VBN,NN,Qualitative_Concept,B,NA,0,0,B,others,B
cpn,NN,IN,TO,NA,B,NA,0,0,B,others,B
to,TO,NN,VB,NA,B,NA,0,0,B,others,B
psychiatrist,VB,TO,IN,Professional_or_Occupational_Group,B,NA,6,2,B,medication,B
at,IN,VB,DT,NA,B,NA,0,0,B,others,B
the,DT,IN,NN,NA,B,NA,4,0,B,others,B
mo,NN,DT,CC,NA,B,NA,0,0,B,others,B
and,CC,NN,NN,Idea_or_Concept,B,NA,4,0,B,others,B
i,NN,CC,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,VBN,NA,B,NA,0,0,B,others,B
scar,VBN,VB,CC,Pathologic_Function,B,NA,4,8,B,others,B
and,CC,VBN,VBP,Idea_or_Concept,B,NA,4,0,B,others,B
do,VBP,CC,RB,Qualitative_Concept,B,NA,0,0,B,others,B
not,RB,VBP,VB,Qualitative_Concept,I,NA,4,5,B,modifier,B
know,VB,RB,WP,Qualitative_Concept,I,NA,0,0,B,others,B
what,WP,VB,TO,NA,B,NA,0,0,B,others,B
to,TO,WP,VB,NA,B,NA,0,0,B,others,B
expect,VB,TO,.,Idea_or_Concept,B,NA,0,0,B,others,B
.,.,VB,end,NA,B,NA,0,0,B,others,B
i,NNS,start,VBP,NA,B,NA,0,0,B,others,B
do,VBP,NNS,RB,Qualitative_Concept,B,NA,0,0,B,others,B
not,RB,VBP,VB,Qualitative_Concept,I,NA,4,5,B,modifier,B
know,VB,RB,IN,Qualitative_Concept,I,NA,0,0,B,others,B
if,IN,VB,NNS,NA,B,NA,0,0,B,others,B
i,NNS,IN,VBP,NA,B,NA,0,0,B,others,B
have,VBP,NNS,VBN,Qualitative_Concept,B,NA,0,0,B,others,B
bipolar,VBN,VBP,CC,Spatial_Concept,B,NA,0,0,B,disease,B
but,CC,VBN,JJ,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B,others,B
i,JJ,CC,VBP,NA,B,NA,0,0,B,others,B
become,VBP,JJ,JJ,NA,B,NA,0,0,B,others,B
high,JJ,VBP,POS,NA,B,NA,4,3,B,symptom,i
',POS,JJ,IN,NA,B,NA,0,0,B,others,B
after,IN,POS,VBP,Temporal_Concept,B,NA,4,10,B,modifier,B
try,VBP,IN,CD,NA,B,NA,0,0,B,others,B
two,CD,VBP,JJ,Quantitative_Concept,B,NA,0,0,B,modifier,B
