word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
[,NN,start,IN,NA,B,NA,0,0,B
about,IN,NN,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,IN,NN,NA,B,NA,0,0,B
month,NN,DT,IN,Temporal_Concept,B,NA,5,0,B
ago,IN,NN,NN,NA,B,NA,4,10,B
i,NN,IN,VBP,NA,B,NA,0,0,B
have,VBP,NN,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,VBP,JJ,NA,B,NA,0,0,B
red,JJ,DT,NN,Qualitative_Concept,B,NA,4,15,B
mark,NN,JJ,IN,Qualitative_Concept,B,NA,0,0,B
on,IN,NN,PRP$,NA,B,NA,0,0,B
my,PRP$,IN,RP,NA,B,NA,0,0,B
back,RP,PRP$,DT,Body_Location_or_Region,B,organ,4,1,B
the,DT,RP,NN,Spatial_Concept,I,NA,4,0,B
size,NN,DT,IN,Spatial_Concept,B,NA,0,0,B
of,IN,NN,DT,Sign_or_Symptom,I,symptom,0,0,B
a,DT,IN,NN,NA,B,NA,0,0,B
coin,NN,DT,CC,Manufactured_Object,B,NA,0,0,B
and,CC,NN,PRP$,Idea_or_Concept,B,NA,4,0,B
my,PRP$,CC,NN,NA,B,NA,0,0,B
doctor,NN,PRP$,VB,Professional_or_Occupational_Group,B,NA,6,2,B
give,VB,NN,PRP,Functional_Concept,B,NA,0,0,B
me,PRP,VB,NNS,NA,B,NA,0,0,B
antibiotics,NNS,PRP,IN,Antibiotic,B,NA,0,0,B
for,IN,NNS,DT,Qualitative_Concept,B,NA,0,0,B
an,DT,IN,JJ,NA,B,NA,0,0,B
infect,JJ,DT,NN,Disease_or_Syndrome,B,disease,3,0,B
cyst,NN,JJ,NN,Disease_or_Syndrome,I,disease,0,0,B
something,NN,NN,NNS,NA,B,NA,0,0,B
i,NNS,NN,VBP,NA,B,NA,0,0,B
have,VBP,NNS,RB,Qualitative_Concept,B,NA,0,0,B
never,RB,VBP,VBP,Temporal_Concept,B,NA,4,5,B
have,VBP,RB,RB,Qualitative_Concept,B,NA,0,0,B
before,RB,VBP,.,Temporal_Concept,B,NA,4,10,B
.,.,RB,end,NA,B,NA,0,0,B
it,PRP,start,VB,NA,B,NA,0,0,B
be,VB,PRP,RBR,NA,B,NA,0,0,B
sore,RBR,VB,TO,Sign_or_Symptom,B,symptom,0,0,B
to,TO,RBR,VB,Spatial_Concept,B,NA,0,0,B
touch,VB,TO,CC,Sign_or_Symptom,I,symptom,0,0,B
and,CC,VB,RB,Idea_or_Concept,B,NA,4,0,B
very,RB,CC,JJ,Qualitative_Concept,B,NA,4,0,B
itchy,JJ,RB,.,Sign_or_Symptom,B,symptom,1,0,B
.,.,JJ,end,NA,B,NA,0,0,B
that,DT,start,VB,NA,B,NA,4,0,B
be,VB,DT,JJ,NA,B,NA,0,0,B
clear,JJ,VB,RB,Qualitative_Concept,B,NA,0,0,B
now,RB,JJ,CC,Temporal_Concept,B,NA,0,0,B
but,CC,RB,IN,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B
since,IN,CC,RB,Temporal_Concept,B,NA,0,0,B
then,RB,IN,NNS,Temporal_Concept,B,NA,4,0,B
i,NNS,RB,VBP,NA,B,NA,0,0,B
have,VBP,NNS,RB,Qualitative_Concept,B,NA,0,0,B
not,RB,VBP,VB,Functional_Concept,B,NA,4,5,B
be,VB,RB,VBN,NA,B,NA,0,0,B
feel,VBN,VB,RB,Mental_Process,B,NA,0,0,B
ver,RB,VBN,RB,NA,B,NA,0,0,B
well,RB,RB,.,Manufactured_Object,B,NA,1,0,B
.,.,RB,end,NA,B,NA,0,0,B
my,PRP$,start,NN,NA,B,NA,0,0,B
neck,NN,PRP$,NN,Sign_or_Symptom,B,symptom,2,0,B
ache,NN,NN,WRB,Sign_or_Symptom,I,symptom,1,0,B
when,WRB,NN,NN,Temporal_Concept,B,NA,0,0,B
i,NN,WRB,VBP,NA,B,NA,0,0,B
turn,VBP,NN,TO,Finding,B,NA,0,0,B
to,TO,VBP,DT,Spatial_Concept,B,NA,0,0,B
the,DT,TO,NN,Spatial_Concept,I,NA,4,0,B
right,NN,DT,IN,Spatial_Concept,I,NA,4,1,B
with,IN,NN,DT,Qualitative_Concept,B,NA,4,0,B
some,DT,IN,NN,Quantitative_Concept,B,NA,4,8,B
stiffness,NN,DT,CC,Sign_or_Symptom,B,symptom,3,0,B
and,CC,NN,NN,Idea_or_Concept,B,NA,4,0,B
shoulder,NN,CC,NN,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
ache,NN,NN,.,Sign_or_Symptom,I,symptom,1,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,VB,NA,B,NA,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
also,RB,VB,VB,NA,B,NA,0,0,B
get,VB,RB,DT,Intellectual_Product,B,NA,0,0,B
