word,pos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
[,NN,NA,B,NA,0,0,B
u'Hello,NN,NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
can,MD,Quantitative_Concept,B,NA,0,0,B
anyone,NN,NA,B,NA,0,0,B
help,VB,Intellectual_Product,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
with,IN,Qualitative_Concept,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
condition,NN,Qualitative_Concept,B,NA,1,0,B
please,NN,NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
i,NN,Intellectual_Product,B,NA,0,0,B
have,VBP,Intellectual_Product,I,NA,0,0,B
tremor,VBN,Disease_or_Syndrome,I,disease,1,0,B
in,IN,NA,B,NA,0,0,B
all,DT,Quantitative_Concept,B,NA,0,0,B
of,IN,NA,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
muscle,NN,Tissue,B,NA,2,0,B
(,(,NA,B,NA,0,0,B
body,NN,Anatomical_Structure,B,organ,2,0,B
),),NA,B,NA,0,0,B
when,WRB,Temporal_Concept,B,NA,0,0,B
i,JJ,Intellectual_Product,B,NA,0,0,B
move,VBP,Organism_Function,B,symptom,0,0,B
them,PRP,NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
finger,JJR,Body_Location_or_Region,B,organ,2,0,B
hand,NN,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
legs,RBR,Body_Location_or_Region,B,organ,2,0,B
belly,RB,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
tongue,VB,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
everything,NN,NA,B,NA,0,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
it,PRP,NA,B,NA,0,0,B
get,VBP,NA,B,NA,0,0,B
worse,JJR,Finding,B,NA,0,0,B
when,WRB,Temporal_Concept,B,NA,0,0,B
im,NN,NA,B,NA,0,0,B
tire,NN,Spatial_Concept,B,NA,1,0,B
",",",",NA,B,NA,0,0,B
when,WRB,Temporal_Concept,B,NA,0,0,B
rest,NN,Daily_or_Recreational_Activity,B,normal_activity,0,0,B
(,(,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
