word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
[,NN,start,NN,NA,B,NA,0,0,B
i,NN,NN,VB,NA,B,NA,0,0,B
be,VB,NN,DT,NA,B,NA,0,0,B
a,DT,VB,CD,Qualitative_Concept,B,NA,0,0,B
24,CD,DT,NNS,NA,B,NA,0,0,B
years,NNS,CD,JJ,Temporal_Concept,B,NA,5,0,B
old,JJ,NNS,NN,Temporal_Concept,B,NA,4,14,B
male,NN,JJ,.,Organism_Attribute,B,NA,4,12,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,VBP,NA,B,NA,0,0,B
have,VBP,NN,DT,Qualitative_Concept,B,NA,0,0,B
an,DT,VBP,JJ,NA,B,NA,0,0,B
nprotected,JJ,DT,NN,NA,B,NA,0,0,B
sexal,NN,JJ,NN,NA,B,NA,0,0,B
intercorse,NN,NN,IN,NA,B,NA,0,0,B
with,IN,NN,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,IN,NN,Qualitative_Concept,B,NA,0,0,B
female,NN,DT,IN,Organism_Attribute,B,NA,4,13,B
in,IN,NN,JJ,Sign_or_Symptom,I,symptom,1,0,I
chile,JJ,IN,CD,Geographic_Area,B,NA,1,0,B
two,CD,JJ,NNS,Quantitative_Concept,B,NA,0,0,B
years,NNS,CD,RB,Temporal_Concept,B,NA,5,0,B
ago,RB,NNS,.,NA,B,NA,4,10,B
.,.,RB,end,NA,B,NA,0,0,B
three,CD,start,NNS,Quantitative_Concept,B,NA,0,0,B
weeks,NNS,CD,RB,Temporal_Concept,B,NA,5,0,B
later,RB,NNS,RB,Temporal_Concept,B,NA,4,10,B
fever,RB,RB,IN,Finding,B,NA,1,0,B
for,IN,RB,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,IN,NN,Qualitative_Concept,B,NA,0,0,B
day,NN,DT,CC,Temporal_Concept,B,NA,5,0,B
or,CC,NN,CD,NA,B,NA,0,0,B
two,CD,CC,NN,Quantitative_Concept,B,NA,0,0,B
follow,NN,CD,IN,Temporal_Concept,B,NA,0,0,B
by,IN,NN,DT,Temporal_Concept,I,NA,0,0,B
an,DT,IN,JJ,NA,B,NA,0,0,B
oral,JJ,DT,NN,Spatial_Concept,B,NA,0,0,B
thrsh,NN,JJ,.,NA,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
6,CD,start,NNS,NA,B,NA,0,0,B
weeks,NNS,CD,RB,Temporal_Concept,B,NA,5,0,B
later,RB,NNS,VBP,Temporal_Concept,B,NA,4,10,B
explosive,VBP,RB,NNS,Disease_or_Syndrome,B,disease,0,0,B
diarrhea,NNS,VBP,RB,Disease_or_Syndrome,I,disease,1,0,B
fever,RB,NNS,IN,Finding,B,NA,1,0,B
for,IN,RB,JJ,Qualitative_Concept,B,NA,0,0,B
abot,JJ,IN,CD,NA,B,NA,0,0,B
5,CD,JJ,NNS,Temporal_Concept,B,NA,0,0,B
days,NNS,CD,.,Temporal_Concept,I,NA,5,0,B
.,.,NNS,end,NA,B,NA,0,0,B
maybe,RB,start,JJ,Finding,B,NA,0,0,B
